"","X","N"
"1",0,41
"2",3,55
"3",12,45
"4",8,52
"5",16,48
"6",4,44
"7",0,51
"8",0,54
"9",2,45
"10",1,52
"11",0,58
"12",9,45
"13",0,52
"14",5,54
"15",8,54
"16",1,50
"17",11,52
"18",3,46
"19",1,48
"20",11,46
"21",4,60
"22",1,41
"23",3,42
"24",1,53
"25",0,51
"26",3,45
"27",3,45
"28",3,57
"29",5,52
"30",0,46
"31",35,52
"32",0,55
"33",0,47
"34",8,52
"35",4,53
"36",8,48
"37",0,49
"38",1,52
"39",0,42
"40",4,49
"41",7,51
"42",1,56
"43",4,38
"44",0,53
"45",5,60
"46",2,49
"47",5,52
"48",1,57
"49",2,59
"50",3,51
"51",3,45
"52",4,55
"53",9,50
"54",16,53
"55",1,48
"56",10,40
"57",1,57
"58",1,46
"59",2,42
"60",3,59
"61",4,48
"62",0,44
"63",10,53
"64",5,52
"65",9,51
"66",1,47
"67",4,45
"68",0,50
"69",20,53
"70",0,54
"71",4,55
"72",17,47
"73",4,53
"74",3,50
"75",7,41
"76",3,46
"77",1,54
"78",9,54
"79",7,50
"80",0,49
"81",3,45
"82",3,54
"83",4,54
"84",12,56
"85",0,49
"86",0,54
"87",4,54
"88",5,47
"89",6,54
"90",20,54
"91",2,51
"92",16,49
"93",1,52
"94",1,45
"95",10,59
"96",15,49
"97",14,48
"98",1,47
"99",4,52
"100",2,50
"101",2,58
"102",2,52
"103",4,49
"104",13,57
"105",17,43
"106",2,52
"107",3,49
"108",1,51
"109",6,44
"110",7,52
"111",1,49
"112",0,43
"113",34,52
"114",2,46
"115",2,53
"116",1,61
"117",5,45
"118",0,51
"119",4,41
"120",7,47
"121",0,48
"122",0,47
"123",2,49
"124",0,49
"125",0,49
"126",0,47
"127",2,47
"128",1,49
"129",3,48
"130",1,47
"131",13,50
"132",3,45
"133",1,43
"134",6,51
"135",9,50
"136",10,52
"137",3,43
"138",8,43
"139",7,50
"140",8,52
"141",3,50
"142",5,40
"143",5,53
"144",13,40
"145",0,50
"146",10,47
"147",0,45
"148",0,53
"149",3,53
"150",2,51
"151",5,49
"152",6,57
"153",1,46
"154",3,53
"155",1,51
"156",12,55
"157",17,53
"158",8,47
"159",8,49
"160",9,54
"161",2,55
"162",8,48
"163",20,56
"164",3,44
"165",11,49
"166",1,56
"167",20,54
"168",3,55
"169",1,64
"170",2,57
"171",2,48
"172",0,55
"173",3,48
"174",0,53
"175",0,45
"176",4,51
"177",7,39
"178",14,41
"179",10,47
"180",2,48
"181",0,44
"182",2,48
"183",0,53
"184",0,47
"185",13,52
"186",2,49
"187",10,55
"188",13,51
"189",8,57
"190",12,48
"191",1,50
"192",5,58
"193",4,52
"194",3,50
"195",2,49
"196",0,48
"197",5,51
"198",1,51
"199",7,42
"200",1,50
"201",9,49
"202",5,58
"203",5,50
"204",3,50
"205",2,48
"206",7,63
"207",4,49
"208",0,46
"209",3,44
"210",1,51
"211",15,51
"212",2,50
"213",0,56
"214",3,45
"215",0,44
"216",6,56
"217",31,56
"218",4,54
"219",11,47
"220",4,54
"221",2,54
"222",6,52
"223",14,50
"224",0,49
"225",4,47
"226",7,59
"227",0,52
"228",10,52
"229",0,56
"230",14,52
"231",10,58
"232",8,47
"233",1,49
"234",2,38
"235",0,48
"236",1,45
"237",7,55
"238",10,56
"239",2,52
"240",2,43
"241",2,46
"242",1,49
"243",2,47
"244",8,46
"245",8,52
"246",6,53
"247",4,47
"248",13,53
"249",1,52
"250",5,48
"251",8,54
"252",0,41
"253",1,57
"254",0,50
"255",5,53
"256",0,44
"257",5,58
"258",2,49
"259",2,54
"260",9,54
"261",6,51
"262",12,52
"263",1,49
"264",0,44
"265",5,52
"266",1,51
"267",5,53
"268",3,43
"269",2,43
"270",4,53
"271",2,50
"272",14,56
"273",0,41
"274",4,51
"275",7,46
"276",6,55
"277",9,40
"278",0,53
"279",0,48
"280",0,51
"281",0,51
"282",16,45
"283",0,48
"284",5,45
"285",1,41
"286",5,53
"287",4,42
"288",1,58
"289",1,51
"290",5,51
"291",5,46
"292",4,45
"293",4,46
"294",6,53
"295",14,53
"296",3,47
"297",22,49
"298",1,57
"299",5,53
"300",0,51
"301",3,51
"302",1,46
"303",10,50
"304",0,50
"305",15,53
"306",1,51
"307",2,53
"308",4,52
"309",7,51
"310",2,50
"311",6,46
"312",1,49
"313",4,55
"314",9,55
"315",6,57
"316",3,53
"317",3,54
"318",4,38
"319",5,56
"320",19,54
"321",2,41
"322",21,50
"323",1,47
"324",2,61
"325",9,51
"326",1,48
"327",4,51
"328",0,48
"329",2,40
"330",12,50
"331",3,51
"332",10,50
"333",3,52
"334",2,47
"335",0,58
"336",13,49
"337",2,52
"338",6,53
"339",4,47
"340",1,51
"341",3,49
"342",3,53
"343",12,50
"344",12,57
"345",3,48
"346",5,42
"347",0,54
"348",13,52
"349",0,49
"350",5,48
"351",7,50
"352",9,47
"353",5,58
"354",12,55
"355",9,58
"356",9,57
"357",1,57
"358",0,42
"359",6,51
"360",7,47
"361",5,45
"362",2,46
"363",8,50
"364",1,51
"365",2,60
"366",1,47
"367",0,50
"368",11,55
"369",18,52
"370",0,45
"371",34,57
"372",2,47
"373",6,44
"374",1,55
"375",2,51
"376",8,43
"377",4,56
"378",6,60
"379",8,49
"380",24,57
"381",0,54
"382",1,52
"383",1,53
"384",16,47
"385",0,45
"386",0,52
"387",2,58
"388",1,51
"389",2,53
"390",5,48
"391",7,46
"392",5,52
"393",1,52
"394",5,49
"395",2,51
"396",13,50
"397",1,49
"398",3,44
"399",6,55
"400",16,59
"401",0,49
"402",4,50
"403",0,53
"404",0,48
"405",5,55
"406",1,45
"407",0,55
"408",21,50
"409",4,50
"410",9,55
"411",13,48
"412",4,39
"413",6,54
"414",15,51
"415",5,43
"416",2,40
"417",2,49
"418",2,47
"419",1,50
"420",0,47
"421",3,55
"422",8,57
"423",0,50
"424",4,58
"425",1,46
"426",1,49
"427",2,52
"428",10,45
"429",5,50
"430",0,62
"431",10,51
"432",3,53
"433",7,52
"434",7,51
"435",3,54
"436",12,60
"437",0,53
"438",8,50
"439",19,58
"440",0,53
"441",0,57
"442",1,45
"443",1,49
"444",8,52
"445",7,49
"446",2,54
"447",5,52
"448",3,56
"449",7,57
"450",4,45
"451",2,49
"452",7,50
"453",5,44
"454",5,51
"455",15,46
"456",6,36
"457",1,51
"458",3,45
"459",0,53
"460",0,57
"461",7,48
"462",1,49
"463",11,48
"464",4,52
"465",3,49
"466",7,49
"467",4,55
"468",0,44
"469",5,44
"470",4,48
"471",3,56
"472",4,52
"473",0,44
"474",7,61
"475",2,49
"476",22,52
"477",2,49
"478",4,53
"479",7,54
"480",11,55
"481",14,51
"482",2,54
"483",5,46
"484",16,45
"485",2,49
"486",3,47
"487",11,55
"488",11,54
"489",11,60
"490",5,49
"491",7,43
"492",1,52
"493",9,55
"494",0,45
"495",13,42
"496",2,62
"497",0,47
"498",1,46
"499",4,50
"500",7,41
"501",7,49
"502",1,62
"503",4,53
"504",3,49
"505",0,45
"506",7,61
"507",1,51
"508",6,54
"509",5,51
"510",2,57
"511",8,59
"512",15,46
"513",2,50
"514",3,53
"515",5,35
"516",1,49
"517",7,46
"518",0,47
"519",19,49
"520",0,46
"521",3,50
"522",5,44
"523",12,55
"524",0,51
"525",1,48
"526",16,46
"527",3,46
"528",1,44
"529",5,53
"530",2,53
"531",3,54
"532",0,48
"533",2,52
"534",5,52
"535",1,46
"536",15,49
"537",14,49
"538",3,41
"539",1,44
"540",3,54
"541",4,53
"542",0,52
"543",0,41
"544",2,53
"545",4,42
"546",1,49
"547",4,49
"548",0,39
"549",0,49
"550",2,42
"551",4,44
"552",11,49
"553",0,47
"554",0,55
"555",22,53
"556",13,44
"557",0,51
"558",3,46
"559",8,45
"560",0,63
"561",3,49
"562",12,45
"563",5,51
"564",4,53
"565",9,57
"566",9,48
"567",0,59
"568",3,46
"569",4,50
"570",6,52
"571",15,55
"572",3,51
"573",4,46
"574",12,49
"575",7,44
"576",1,51
"577",11,55
"578",2,51
"579",3,48
"580",0,45
"581",7,49
"582",2,45
"583",0,47
"584",3,48
"585",20,57
"586",14,47
"587",2,51
"588",5,46
"589",2,50
"590",10,54
"591",0,59
"592",0,45
"593",2,50
"594",5,54
"595",3,55
"596",3,51
"597",2,46
"598",5,59
"599",4,54
"600",4,52
"601",1,40
"602",2,48
"603",0,48
"604",0,48
"605",8,44
"606",1,41
"607",3,52
"608",5,46
"609",4,55
"610",1,44
"611",16,58
"612",3,54
"613",15,45
"614",0,43
"615",7,53
"616",20,50
"617",13,47
"618",0,43
"619",0,51
"620",9,55
"621",0,53
"622",10,48
"623",9,57
"624",1,50
"625",13,56
"626",3,43
"627",1,43
"628",15,41
"629",16,49
"630",3,50
"631",8,43
"632",5,46
"633",15,51
"634",9,55
"635",0,50
"636",2,44
"637",3,52
"638",20,60
"639",7,43
"640",22,57
"641",4,50
"642",0,53
"643",4,47
"644",0,51
"645",10,50
"646",14,56
"647",9,49
"648",1,51
"649",2,45
"650",3,48
"651",6,57
"652",20,49
"653",10,49
"654",2,56
"655",1,51
"656",0,53
"657",5,49
"658",4,45
"659",6,49
"660",16,44
"661",16,55
"662",28,44
"663",1,51
"664",5,50
"665",1,53
"666",2,41
"667",7,58
"668",9,60
"669",1,50
"670",0,54
"671",1,48
"672",2,52
"673",11,41
"674",6,50
"675",7,44
"676",2,49
"677",4,46
"678",4,58
"679",0,52
"680",6,50
"681",3,54
"682",7,42
"683",2,42
"684",9,43
"685",5,54
"686",0,52
"687",6,48
"688",1,54
"689",1,41
"690",2,49
"691",0,44
"692",0,46
"693",1,55
"694",1,41
"695",10,61
"696",4,48
"697",4,44
"698",0,53
"699",3,52
"700",0,47
"701",0,51
"702",4,44
"703",3,54
"704",0,48
"705",5,47
"706",0,49
"707",6,51
"708",4,51
"709",13,47
"710",9,53
"711",1,47
"712",9,63
"713",2,46
"714",2,46
"715",13,44
"716",5,56
"717",17,46
"718",5,49
"719",25,48
"720",5,56
"721",1,54
"722",3,45
"723",3,45
"724",10,50
"725",4,50
"726",7,53
"727",6,50
"728",3,42
"729",1,41
"730",0,48
"731",5,50
"732",3,51
"733",3,45
"734",2,46
"735",8,51
"736",0,53
"737",4,49
"738",2,49
"739",3,49
"740",14,49
"741",2,51
"742",0,51
"743",4,46
"744",4,54
"745",5,44
"746",10,40
"747",6,49
"748",0,49
"749",0,38
"750",8,49
"751",2,57
"752",5,54
"753",0,44
"754",2,46
"755",9,50
"756",1,45
"757",5,51
"758",2,43
"759",0,54
"760",5,47
"761",1,47
"762",0,50
"763",14,46
"764",1,43
"765",4,58
"766",2,57
"767",18,55
"768",4,44
"769",3,52
"770",0,56
"771",4,52
"772",2,59
"773",3,47
"774",12,49
"775",22,55
"776",9,42
"777",2,53
"778",11,53
"779",4,47
"780",0,52
"781",2,48
"782",1,58
"783",5,57
"784",4,45
"785",4,56
"786",9,47
"787",2,56
"788",3,48
"789",3,44
"790",7,49
"791",0,48
"792",10,50
"793",1,48
"794",5,51
"795",3,44
"796",7,47
"797",1,49
"798",7,51
"799",1,53
"800",7,55
"801",0,56
"802",0,45
"803",4,60
"804",3,46
"805",0,50
"806",3,58
"807",3,51
"808",3,44
"809",3,56
"810",1,55
"811",2,54
"812",1,54
"813",8,49
"814",3,48
"815",2,50
"816",0,49
"817",10,51
"818",1,53
"819",2,51
"820",7,58
"821",5,53
"822",3,50
"823",3,48
"824",21,53
"825",5,48
"826",16,55
"827",0,57
"828",17,54
"829",6,54
"830",6,58
"831",5,53
"832",17,47
"833",4,48
"834",8,51
"835",1,63
"836",3,59
"837",5,43
"838",10,45
"839",2,44
"840",2,44
"841",4,51
"842",7,54
"843",0,53
"844",2,48
"845",11,41
"846",12,44
"847",1,52
"848",1,52
"849",0,43
"850",6,49
"851",21,55
"852",1,49
"853",6,50
"854",5,54
"855",3,43
"856",12,44
"857",0,48
"858",3,45
"859",0,52
"860",14,47
"861",9,50
"862",1,52
"863",3,50
"864",4,52
"865",2,49
"866",4,43
"867",1,51
"868",3,54
"869",3,47
"870",4,49
"871",0,41
"872",11,55
"873",2,54
"874",25,59
"875",4,57
"876",2,46
"877",2,48
"878",4,49
"879",5,44
"880",0,51
"881",6,57
"882",3,50
"883",2,53
"884",1,49
"885",7,53
"886",20,54
"887",4,53
"888",8,47
"889",7,44
"890",1,45
"891",7,46
"892",2,50
"893",1,46
"894",7,60
"895",7,47
"896",2,51
"897",1,64
"898",6,46
"899",14,52
"900",9,42
"901",6,44
"902",1,45
"903",1,50
"904",7,53
"905",1,49
"906",2,47
"907",3,46
"908",2,62
"909",3,55
"910",9,48
"911",10,58
"912",4,46
"913",1,49
"914",9,56
"915",0,54
"916",3,56
"917",1,55
"918",1,49
"919",0,40
"920",9,61
"921",9,51
"922",0,50
"923",7,55
"924",0,52
"925",2,59
"926",0,52
"927",0,45
"928",11,45
"929",3,40
"930",11,41
"931",4,53
"932",1,46
"933",10,49
"934",1,48
"935",3,47
"936",3,57
"937",1,47
"938",23,52
"939",4,43
"940",1,52
"941",0,47
"942",15,47
"943",1,56
"944",10,49
"945",0,53
"946",16,51
"947",12,50
"948",9,41
"949",12,53
"950",0,39
"951",27,55
"952",18,43
"953",16,48
"954",6,51
"955",1,51
"956",19,46
"957",18,46
"958",1,57
"959",13,51
"960",5,57
"961",6,50
"962",2,50
"963",4,53
"964",5,51
"965",1,55
"966",0,57
"967",5,64
"968",0,53
"969",3,47
"970",8,56
"971",3,53
"972",9,47
"973",11,47
"974",0,47
"975",14,49
"976",1,55
"977",23,51
"978",3,51
"979",0,46
"980",10,51
"981",7,50
"982",6,50
"983",26,54
"984",0,51
"985",6,46
"986",4,46
"987",11,49
"988",1,51
"989",9,54
"990",3,42
"991",18,54
"992",3,52
"993",26,52
"994",0,48
"995",3,38
"996",5,45
"997",1,54
"998",8,49
"999",0,54
"1000",5,58
