"","date","volume","holiday"
"1","2012-02-05",18,0
"2","2012-02-12",27,0
"3","2012-02-19",22,0
"4","2012-02-26",27,0
"5","2012-03-04",35,0
"6","2012-03-11",35,0
"7","2012-03-18",29,0
"8","2012-03-25",34,0
"9","2012-04-01",32,0
"10","2012-04-08",42,0
"11","2012-04-15",24,0
"12","2012-04-22",29,0
"13","2012-04-29",35,0
"14","2012-05-06",38,0
"15","2012-05-13",36,0
"16","2012-05-20",34,0
"17","2012-05-27",33,0
"18","2012-06-03",44,0
"19","2012-06-10",31,0
"20","2012-06-17",35,0
"21","2012-06-24",40,0
"22","2012-07-01",34,0
"23","2012-07-08",39,0
"24","2012-07-15",30,0
"25","2012-07-22",35,0
"26","2012-07-29",35,0
"27","2012-08-05",25,0
"28","2012-08-12",36,0
"29","2012-08-19",39,0
"30","2012-08-26",39,0
"31","2012-09-02",53,0
"32","2012-09-09",40,0
"33","2012-09-16",36,0
"34","2012-09-23",42,0
"35","2012-09-30",29,0
"36","2012-10-07",33,0
"37","2012-10-14",39,0
"38","2012-10-21",31,0
"39","2012-10-28",49,0
"40","2012-11-04",43,0
"41","2012-11-11",40,0
"42","2012-11-18",32,0
"43","2012-11-25",31,0
"44","2012-12-02",42,0
"45","2012-12-09",45,0.875
"46","2012-12-16",63,1
"47","2012-12-23",71,1
"48","2012-12-30",66,1
"49","2013-01-06",22,0.25
"50","2013-01-13",18,0
"51","2013-01-20",30,0
"52","2013-01-27",33,0
"53","2013-02-03",29,0
"54","2013-02-10",37,0
"55","2013-02-17",38,0
"56","2013-02-24",25,0
"57","2013-03-03",43,0
"58","2013-03-10",36,0
"59","2013-03-17",40,0
"60","2013-03-24",39,0
"61","2013-03-31",39,0
"62","2013-04-07",45,0
"63","2013-04-14",36,0
"64","2013-04-21",40,0
"65","2013-04-28",39,0
"66","2013-05-05",41,0
"67","2013-05-12",39,0
"68","2013-05-19",44,0
"69","2013-05-26",52,0
"70","2013-06-02",40,0
"71","2013-06-09",35,0
"72","2013-06-16",33,0
"73","2013-06-23",42,0
"74","2013-06-30",42,0
"75","2013-07-07",34,0
"76","2013-07-14",36,0
"77","2013-07-21",40,0
"78","2013-07-28",43,0
"79","2013-08-04",37,0
"80","2013-08-11",49,0
"81","2013-08-18",42,0
"82","2013-08-25",48,0
"83","2013-09-01",45,0
"84","2013-09-08",42,0
"85","2013-09-15",36,0
"86","2013-09-22",46,0
"87","2013-09-29",34,0
"88","2013-10-06",58,0
"89","2013-10-13",55,0
"90","2013-10-20",38,0
"91","2013-10-27",47,0
"92","2013-11-03",37,0
"93","2013-11-10",32,0
"94","2013-11-17",34,0
"95","2013-11-24",32,0
"96","2013-12-01",45,0
"97","2013-12-08",62,0.75
"98","2013-12-15",66,1
"99","2013-12-22",72,1
"100","2013-12-29",100,1
"101","2014-01-05",27,0.375
"102","2014-01-12",23,0
"103","2014-01-19",34,0
"104","2014-01-26",32,0
"105","2014-02-02",42,0
"106","2014-02-09",35,0
"107","2014-02-16",44,0
"108","2014-02-23",44,0
"109","2014-03-02",46,0
"110","2014-03-09",41,0
"111","2014-03-16",36,0
"112","2014-03-23",37,0
"113","2014-03-30",42,0
"114","2014-04-06",41,0
"115","2014-04-13",38,0
"116","2014-04-20",47,0
"117","2014-04-27",43,0
"118","2014-05-04",44,0
"119","2014-05-11",39,0
"120","2014-05-18",35,0
"121","2014-05-25",39,0
"122","2014-06-01",41,0
"123","2014-06-08",45,0
"124","2014-06-15",40,0
"125","2014-06-22",40,0
"126","2014-06-29",40,0
"127","2014-07-06",45,0
"128","2014-07-13",43,0
"129","2014-07-20",48,0
"130","2014-07-27",43,0
"131","2014-08-03",51,0
"132","2014-08-10",45,0
"133","2014-08-17",37,0
"134","2014-08-24",44,0
"135","2014-08-31",42,0
"136","2014-09-07",39,0
"137","2014-09-14",47,0
"138","2014-09-21",47,0
"139","2014-09-28",34,0
"140","2014-10-05",37,0
"141","2014-10-12",39,0
"142","2014-10-19",41,0
"143","2014-10-26",49,0
"144","2014-11-02",33,0
"145","2014-11-09",34,0
"146","2014-11-16",36,0
"147","2014-11-23",28,0
"148","2014-11-30",45,0
"149","2014-12-07",54,0.625
"150","2014-12-14",63,1
"151","2014-12-21",67,1
"152","2014-12-28",98,1
"153","2015-01-04",25,0.5
"154","2015-01-11",27,0
"155","2015-01-18",32,0
"156","2015-01-25",38,0
"157","2015-02-01",40,0
"158","2015-02-08",35,0
"159","2015-02-15",39,0
"160","2015-02-22",36,0
"161","2015-03-01",35,0
"162","2015-03-08",36,0
"163","2015-03-15",37,0
"164","2015-03-22",44,0
"165","2015-03-29",42,0
"166","2015-04-05",44,0
"167","2015-04-12",34,0
"168","2015-04-19",35,0
"169","2015-04-26",34,0
"170","2015-05-03",29,0
"171","2015-05-10",31,0
"172","2015-05-17",40,0
"173","2015-05-24",58,0
"174","2015-05-31",38,0
"175","2015-06-07",44,0
"176","2015-06-14",38,0
"177","2015-06-21",41,0
"178","2015-06-28",44,0
"179","2015-07-05",34,0
"180","2015-07-12",37,0
"181","2015-07-19",45,0
"182","2015-07-26",48,0
"183","2015-08-02",54,0
"184","2015-08-09",45,0
"185","2015-08-16",44,0
"186","2015-08-23",46,0
"187","2015-08-30",46,0
"188","2015-09-06",36,0
"189","2015-09-13",39,0
"190","2015-09-20",43,0
"191","2015-09-27",38,0
"192","2015-10-04",48,0
"193","2015-10-11",41,0
"194","2015-10-18",32,0
"195","2015-10-25",42,0
"196","2015-11-01",48,0
"197","2015-11-08",25,0
"198","2015-11-15",32,0
"199","2015-11-22",29,0
"200","2015-11-29",43,0
"201","2015-12-06",57,0.5
"202","2015-12-13",66,1
"203","2015-12-20",73,1
"204","2015-12-27",92,1
"205","2016-01-03",19,0.625
"206","2016-01-10",22,0
"207","2016-01-17",29,0
"208","2016-01-24",39,0
"209","2016-01-31",34,0
